"title","pub_year","citation","author","conference","pages","publisher","url"
"A game theoretic design of artificial-noise aided transmissions in MIMO wiretap interference network","2016","2016 IEEE Global Communications Conference (GLOBECOM), 1-6, 2016","Peyman Siyari, Marwan Krunz, Diep N. Nguyen","2016 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/7841504/"
"Feature engineering and supervised learning classifiers for respiratory artefact removal in lung function tests","2016","2016 IEEE Global Communications Conference (GLOBECOM), 1-6, 2016","Thuy T. Pham, Diep N. Nguyen, Eryk Dutkiewicz, Alistair L. McEwan, Cindy Thamrin, Paul D. Robinson, Philip HW Leong","2016 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/7841839/"
"Novel pilot decontamination methods for Massive MIMO systems under practical scenarios","2016","2016 16th International Symposium on Communications and Information …, 2016","Qingqing Cheng, Gengfa Fang, Diep Nguyen, Eryk Dutkiewicz","2016 16th International Symposium on Communications and Information Technologies (ISCIT)","77-81","IEEE","https://ieeexplore.ieee.org/abstract/document/7751595/"
"Balanced Twin Auto-Encoder for IoT Intrusion Detection","2022","GLOBECOM 2022-2022 IEEE Global Communications Conference, 3387-3392, 2022","Phai Vu Dinh, Diep N. Nguyen, Dinh Thai Hoang, Nguyen Quang Uy, Son Pham Bao, Eryk Dutkiewicz","GLOBECOM 2022-2022 IEEE Global Communications Conference","3387-3392","IEEE","https://ieeexplore.ieee.org/abstract/document/10000891/"
"Maximization of Geometric Mean of Secrecy Rates in RIS-aided Communications Networks","2022","2022 11th International Conference on Control, Automation and Information …, 2022","Ngoc-Tan Nguyen, H. Yu, HD Tuan, Diep N. Nguyen, E. Dutkiewicz","2022 11th International Conference on Control, Automation and Information Sciences (ICCAIS)","310-315","IEEE","https://ieeexplore.ieee.org/abstract/document/9990481/"
"Keynote Speaker 2: Enabling Metaverse with Secure and Smart Network Resource Slicing","2022","2022 9th NAFOSTED Conference on Information and Computer Science (NICS …, 2022","Eryk Dutkiewicz, Diep Nguyen","2022 9th NAFOSTED Conference on Information and Computer Science (NICS)","xxiii-xxiv","IEEE","https://ieeexplore.ieee.org/abstract/document/10013452/"
"Cooperative Friendly Jamming in Swarm UAV-assisted Communications with Wireless Energy Harvesting","2022","2022 IEEE 95th Vehicular Technology Conference:(VTC2022-Spring), 1-6, 2022","Hanh Dang-Ngoc, Diep N. Nguyen, Dinh Thai Hoang, Khuong Ho-Van, Eryk Dutkiewicz","2022 IEEE 95th Vehicular Technology Conference:(VTC2022-Spring)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9860920/"
"In-Network Caching and Learning Optimization for Federated Learning in Mobile Edge Networks","2022","ICC 2022-IEEE International Conference on Communications, 1653-1658, 2022","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","ICC 2022-IEEE International Conference on Communications","1653-1658","IEEE","https://ieeexplore.ieee.org/abstract/document/9839229/"
"Incentive Mechanism for AI-Based Mobile Applications with Coded Federated Learning","2021","2021 IEEE Global Communications Conference (GLOBECOM), 1-6, 2021","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","2021 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9685867/"
"Dynamic Optimal Coding and Scheduling for Distributed Learning over Wireless Edge Networks","2021","2021 IEEE Global Communications Conference (GLOBECOM), 1-6, 2021","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","2021 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9685719/"
"Nullification of Multiple Correlated Jammers","2021","2021 IEEE 94th Vehicular Technology Conference (VTC2021-Fall), 1-6, 2021","Linh Hoang, J. Andrew Zhang, Diep Nguyen, Asanka Kekirigoda, Kin-Ping Hui","2021 IEEE 94th Vehicular Technology Conference (VTC2021-Fall)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9625044/"
"Multi-user MIMO with Jamming Suppression for Spectrum-Efficient Tactical Communications","2020","2020 14th International Conference on Signal Processing and Communication …, 2020","Qingqing Cheng, Zhipeng Lin, J. Andrew Zhang, Diep Nguyen, Xiaojing Huang, Asanka Kekirigoda, Kin-Ping Hui","2020 14th International Conference on Signal Processing and Communication Systems (ICSPCS)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9310062/"
"Multi-user MIMO Communications with Interference Mitigation in Time-varying Channels","2020","2020 14th International Conference on Signal Processing and Communication …, 2020","J Andrew Zhang, Linh Hoang, Diep Nguyen, Xiaojing Huang, Asanka Kekirigoda, Kin-Ping Hui","2020 14th International Conference on Signal Processing and Communication Systems (ICSPCS)","1-7","IEEE","https://ieeexplore.ieee.org/abstract/document/9310055/"
"Common Agency-Based Economic Model for Energy Contract in Electric Vehicle Networks","2020","GLOBECOM 2020-2020 IEEE Global Communications Conference, 1-6, 2020","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoangl, Eryk Dutkiewicz, Markus Dominik Mueck","GLOBECOM 2020-2020 IEEE Global Communications Conference","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9322376/"
"Feature Analysis for Discrimination of Motor Unit Action Potentials","2018","2018 12th International Symposium on Medical Information and Communication …, 2018","Thuy T. Pham, Diep N. Nguyen, Eryk Dutkiewicz, Alistair L. McEwan, Philip HW Leong, Andrew J. Fuglevand","2018 12th International Symposium on Medical Information and Communication Technology (ISMICT)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8573738/"
"Game theoretic analysis of sublicensing for PAL and GAA bands in spectrum access system","2017","2017 IEEE 28th Annual International Symposium on Personal, Indoor, and …, 2017","Huiyang Wang, Eryk Dutkiewicz, Diep Nguyen, Markus Dominik Mueck","2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)","1-5","IEEE","https://ieeexplore.ieee.org/abstract/document/8292427/"
"Double-Balanced Gilbert Mixer with Current Bleeding for RF Front-End Using 0.13 µm SiGe BiCMOS Technology","2017","2017 IEEE 85th Vehicular Technology Conference (VTC Spring), 1-5, 2017","Meriam Gay Bautista, Forest Zhu, Diep N. Nguyen, Eryk Dutkiewicz","2017 IEEE 85th Vehicular Technology Conference (VTC Spring)","1-5","IEEE","https://ieeexplore.ieee.org/abstract/document/8108424/"
